city_income
"Winnetka – $98,139"
"Kenilworth – $97,381"
"Glencoe – $94,900"
"Inverness – $91,623"
"Barrington Hills – $91,555"
"Lake Forest – $86,004"
"Oak Brook – $81,213"
"Country Club Hills, Illinois – $21,561"
"Moline, Illinois – $21,557"
"Boulder Hill, Illinois – $21,536"
"East Galesburg, Illinois – $21,532"
"Philo, Illinois – $21,502"
"Park Forest, Illinois – $21,493"
"East Brooklyn, Illinois – $21,470"
"Lisbon, Illinois – $21,456"
"Cordova, Illinois – $21,442"
"Kingston, Illinois – $21,432"
"Wonder Lake, Illinois – $21,428"
"Sidney, Illinois – $21,425"
"Orland Hills, Illinois – $21,415"
"Trenton, Illinois – $21,393"
"St. Joseph, Illinois – $21,381"
"Forest View, Illinois – $21,376"
"Union Hill, Illinois – $21,371"
"Wonder Lake, Illinois – $21,352"
"Sibley, Illinois – $21,317"
"Oakford, Illinois – $21,309"
"Teutopolis, Illinois – $21,280"
"Buckley, Illinois – $21,251"
"Romeoville, Illinois – $21,221"
"Union, Illinois – $21,218"
"Reddick, Illinois – $21,207"
"Addison, Illinois – $21,201"
"Ashton, Illinois – $21,200"
"Pesotum, Illinois – $21,191"
"Phillipstown, Illinois – $21,188"
"Troy, Illinois – $21,174"
"Spaulding, Illinois – $21,168"
"Elgin, Illinois – $21,112"
"Shannon, Illinois – $21,108"
"Highland, Illinois – $21,101"
"Waterloo, Illinois – $21,081"
"Greenview, Illinois – $21,050"
"Orion, Illinois – $21,043"
"Stillman Valley, Illinois – $21,036"
"Long Lake, Illinois – $21,034"
"Winnebago, Illinois – $21,019"
"Peoria Heights, Illinois – $20,999"
"Coal Valley, Illinois – $20,996"
"East Dubuque, Illinois – $20,984"
"South Jacksonville, Illinois – $20,973"
"Brocton, Illinois – $20,960"
"Mansfield, Illinois – $20,947"
"Makanda, Illinois – $20,937"
"Thayer, Illinois – $20,933"
"Dwight, Illinois – $20,928"
"Rock City, Illinois – $20,920"
"Lexington, Illinois – $20,898"
"Holiday Hills, Illinois – $20,883"
"Weldon, Illinois – $20,851"
"Malta, Illinois – $20,839"
"Ashkum, Illinois – $20,806"
"Congerville, Illinois – $20,795"
"Loves Park, Illinois – $20,781"
"Le Roy, Illinois – $20,743"
"Justice, Illinois – $20,714"
"Hanna City, Illinois – $20,710"
"Riverton, Illinois – $20,678"
"Peru, Illinois – $20,658"
"Heyworth, Illinois – $20,655"
"Princeton, Illinois – $20,632"
"East Gillespie, Illinois – $20,628"
"Andalusia, Illinois – $20,626"
"Clifton, Illinois – $20,618"
"Bartonville, Illinois – $20,580"
"Braidwood, Illinois – $20,545"
"Breese, Illinois – $20,530"
"Rosewood Heights, Illinois – $20,527"
"Peoria, Illinois – $20,512"
"Roxana, Illinois – $20,511"
"Alsip, Illinois – $20,498"
"Poplar Grove, Illinois – $20,493"
"Atlanta, Illinois – $20,460"
"Eureka, Illinois – $20,460"
"Pecatonica, Illinois – $20,420"
"Valmeyer, Illinois – $20,420"
"Dunlap, Illinois – $20,407"
"Aviston, Illinois – $20,395"
"River Grove, Illinois – $20,390"
"Perry, Illinois – $20,383"
"McNabb, Illinois – $20,374"
"Crystal Lawns, Illinois – $20,369"
"McCullom Lake, Illinois – $20,350"
"St. Jacob, Illinois – $20,340"
"Mount Morris, Illinois – $20,326"
"Adeline, Illinois – $20,301"
"Chicago Ridge, Illinois – $20,278"
"Toluca, Illinois – $20,243"
"Shabbona, Illinois – $20,239"
"Carlock, Illinois – $20,227"
"Diamond, Illinois – $20,223"
"Dalzell, Illinois – $20,215"
"Williamsville, Illinois – $20,201"
"Metamora, Illinois – $20,200"
"Evansville, Illinois – $20,194"
"Morrison, Illinois – $20,179"
"Jerseyville, Illinois – $20,178"
